PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional,MVP
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,abadfe01,0
693,634,85,180,38,1,33,123,2,2,36,152,0.284,0.33,0.503,0.834,118.0,319.0,24,13,0,10,4,abreujo02,0
715,626,127,175,22,2,41,101,37,9,76,188,0.28,0.365,0.518,0.883,121.0,324.0,8,9,0,1,4,acunaro01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,adamja01,0
24,22,1,7,1,0,0,2,0,0,2,8,0.318,0.375,0.364,0.739,99.0,8.0,0,0,0,0,0,adamecr01,0
584,531,69,135,25,1,20,52,4,2,46,153,0.254,0.317,0.418,0.735,96.0,222.0,9,3,3,1,1,adamewi01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,adamsau01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,adamsau01,0
1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0.0,0,0,0,0,0,adamsau02,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,adamsau02,0
1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0.0,0,0,0,0,0,adamsau02,0
333,310,42,70,14,0,20,56,0,0,20,115,0.226,0.276,0.465,0.741,86.0,144.0,7,2,0,1,1,adamsma01,0
5,5,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100.0,0.0,0,0,0,0,0,adducji02,0
236,202,34,55,8,3,5,22,0,2,20,40,0.272,0.349,0.416,0.765,103.0,84.0,2,6,2,4,1,adriaeh01,0
24,22,0,2,0,0,0,2,0,0,0,9,0.091,0.087,0.091,0.178,-53.0,2.0,0,0,1,1,0,agrazda01,0
369,314,39,74,12,0,12,50,0,0,43,81,0.236,0.325,0.389,0.714,87.0,122.0,12,2,0,7,0,aguilje01,0
262,222,26,50,9,0,8,34,0,0,31,59,0.225,0.32,0.374,0.694,80.0,83.0,11,2,0,4,0,aguilje01,0
107,92,13,24,3,0,4,16,0,0,12,22,0.261,0.336,0.424,0.76,104.0,39.0,1,0,0,3,0,aguilje01,0
625,556,79,141,33,6,19,82,8,2,52,113,0.254,0.316,0.437,0.753,93.0,243.0,15,4,1,12,2,ahmedni01,0
1,1,0,1,0,0,0,1,0,0,0,0,1.0,1.0,1.0,2.0,414.0,1.0,0,0,0,0,0,alanirj01,0
1,1,0,1,0,0,0,1,0,0,0,0,1.0,1.0,1.0,2.0,414.0,1.0,0,0,0,0,0,alanirj01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,alberma01,0
550,524,62,160,21,2,12,51,4,4,16,50,0.305,0.329,0.422,0.751,98.0,221.0,9,4,3,3,1,alberha01,0
702,640,102,189,43,8,24,86,15,4,54,112,0.295,0.352,0.5,0.852,113.0,320.0,2,4,0,4,6,albieoz01,0
63,58,2,5,1,0,0,4,0,0,1,46,0.086,0.117,0.103,0.22,-40.0,6.0,0,1,3,0,0,alcansa01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,alcanvi01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,alexasc02,0
465,431,44,113,14,1,18,57,4,4,22,154,0.262,0.312,0.425,0.736,93.0,183.0,12,10,0,2,1,alfarjo01,0
30,28,3,5,0,0,1,1,2,0,1,11,0.179,0.233,0.286,0.519,39.0,8.0,0,1,0,0,0,alforan01,0
2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,0,0,0,0,0,allarko01,0
71,65,4,14,4,0,0,3,0,0,6,21,0.215,0.282,0.277,0.559,51.0,18.0,2,0,0,0,3,allenau01,0
1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0.0,0,0,0,0,0,allenco01,0
256,231,30,53,9,3,4,27,8,2,11,53,0.229,0.29,0.346,0.636,66.0,80.0,3,9,4,1,1,allengr01,0
