PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional,MVP
38,31,3,8,3,0,1,8,0,0,5,11,0.258,0.378,0.452,0.83,134.0,14.0,1,1,0,0,0,smithke04,0
47,45,2,6,2,0,0,3,2,0,2,13,0.133,0.17,0.178,0.348,-2.0,8.0,1,0,0,0,0,smithma05,0
44,37,7,10,0,1,1,4,1,0,5,8,0.27,0.341,0.405,0.746,102.0,15.0,0,0,0,2,0,smithpa04,0
137,114,23,33,9,0,8,25,0,0,20,22,0.289,0.401,0.579,0.98,162.0,66.0,2,2,0,1,1,smithwi05,0
132,119,14,21,7,0,5,15,0,0,10,42,0.176,0.25,0.361,0.611,62.0,43.0,4,2,0,1,0,smoakju01,0
126,113,14,21,7,0,5,15,0,0,10,40,0.186,0.262,0.381,0.642,69.0,43.0,3,2,0,1,0,smoakju01,0
6,6,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0.0,1,0,0,0,0,smoakju01,0
128,115,10,24,5,0,1,10,0,0,11,20,0.209,0.281,0.278,0.56,51.0,32.0,1,1,0,1,0,sogarer01,0
233,209,27,56,10,0,2,23,7,1,18,42,0.268,0.326,0.344,0.671,86.0,72.0,6,2,0,4,0,solakni01,0
203,190,22,62,15,1,3,29,0,0,10,39,0.326,0.365,0.463,0.828,127.0,88.0,2,2,0,1,0,solando01,0
174,149,17,34,8,0,8,24,0,0,19,60,0.228,0.326,0.443,0.769,106.0,66.0,3,3,0,1,0,solerjo01,0
7,6,2,2,1,0,0,0,0,0,1,1,0.333,0.429,0.5,0.929,154.0,3.0,0,0,0,0,0,sotoel01,0
196,154,39,54,14,0,13,37,6,2,41,28,0.351,0.49,0.695,1.185,217.0,107.0,1,1,0,0,12,sotoju01,0
31,27,3,4,2,0,1,5,1,0,4,15,0.148,0.258,0.333,0.591,58.0,9.0,0,0,0,0,0,souzast01,0
222,189,37,50,6,2,14,32,1,2,24,38,0.265,0.359,0.54,0.899,141.0,102.0,3,5,0,2,0,springe01,0
143,125,13,31,7,0,3,18,0,0,15,40,0.248,0.326,0.376,0.702,91.0,47.0,2,0,2,1,0,stallja01,0
94,76,12,19,7,0,4,11,1,1,15,27,0.25,0.387,0.5,0.887,145.0,38.0,4,2,0,0,1,stantmi03,0
64,59,5,10,1,0,1,5,0,0,4,27,0.169,0.219,0.237,0.456,24.0,14.0,0,0,0,1,0,starlbu01,0
105,90,12,25,2,0,7,20,0,0,11,21,0.278,0.352,0.533,0.886,138.0,48.0,5,1,0,3,0,stassma01,0
20,17,4,5,0,0,2,6,0,0,2,9,0.294,0.4,0.647,1.047,167.0,11.0,0,1,0,0,0,stephty01,0
47,41,11,15,7,1,2,12,2,0,5,11,0.366,0.447,0.732,1.179,212.0,30.0,0,1,0,0,0,stevean01,0
99,90,6,15,3,0,3,9,0,0,5,30,0.167,0.224,0.3,0.524,43.0,27.0,2,2,0,1,0,stewach02,0
112,88,13,17,2,0,7,15,0,0,20,38,0.193,0.355,0.455,0.809,118.0,40.0,0,2,2,0,0,stewadj01,0
259,235,41,68,13,4,11,28,15,3,24,63,0.289,0.355,0.519,0.874,120.0,122.0,5,0,0,0,1,storytr01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,strahma01,0
82,75,12,15,1,0,0,3,3,2,5,13,0.2,0.268,0.213,0.482,39.0,16.0,1,2,0,0,0,gordode01,0
86,82,8,17,4,0,0,8,6,2,4,22,0.207,0.244,0.256,0.5,37.0,21.0,0,0,0,0,0,strawmy01,0
10,8,1,1,0,0,0,1,0,1,0,0,0.125,0.111,0.125,0.236,-35.0,1.0,0,0,1,1,0,stubbga01,0
231,198,29,40,8,0,15,38,2,0,30,67,0.202,0.312,0.47,0.781,100.0,93.0,5,2,0,1,1,suareeu01,0
4,2,0,0,0,0,0,0,0,0,2,0,0.0,0.5,0.0,0.5,55.0,0.0,0,0,0,0,0,susacan01,0
129,111,15,30,8,0,2,17,1,0,11,19,0.27,0.349,0.396,0.745,102.0,44.0,4,4,0,3,0,suzukku01,0
264,237,49,65,15,0,10,35,5,0,22,71,0.274,0.345,0.464,0.809,111.0,110.0,0,4,0,1,0,swansda01,0
206,184,26,59,8,2,1,17,8,2,14,38,0.321,0.369,0.402,0.772,98.0,74.0,3,2,1,3,0,tapiara01,0
257,224,50,62,11,2,17,45,11,3,27,61,0.277,0.366,0.571,0.937,156.0,128.0,6,5,0,1,1,tatisfe02,0
111,95,18,23,6,0,0,14,6,0,14,26,0.242,0.342,0.305,0.648,84.0,29.0,3,1,0,1,3,tauchmi01,0
134,119,20,27,6,1,4,6,8,0,14,43,0.227,0.308,0.395,0.703,93.0,47.0,0,0,1,0,0,taverle01,0
24,21,1,1,0,0,0,2,0,0,2,9,0.048,0.13,0.048,0.178,-48.0,1.0,0,0,1,0,0,taylobe11,0
214,185,30,50,10,2,8,32,3,2,26,55,0.27,0.366,0.476,0.842,127.0,88.0,3,2,1,0,0,tayloch03,0
99,92,11,18,6,0,5,16,0,0,6,27,0.196,0.253,0.424,0.676,79.0,39.0,2,1,0,0,0,taylomi02,0
41,38,6,9,4,0,2,6,0,0,2,8,0.237,0.293,0.5,0.793,107.0,19.0,1,1,0,0,0,tayloty01,0
77,75,7,19,4,1,3,8,4,1,2,30,0.253,0.273,0.453,0.726,96.0,34.0,2,0,0,0,0,tejedan01,0
127,113,20,32,5,0,8,23,0,1,11,20,0.283,0.346,0.54,0.886,139.0,61.0,1,1,0,2,1,tellero01,0
25,21,3,3,0,0,1,1,0,0,4,8,0.143,0.28,0.286,0.566,56.0,6.0,1,0,0,0,0,thaisma01,0
140,123,10,25,5,0,3,12,1,0,14,42,0.203,0.3,0.317,0.617,68.0,39.0,2,3,0,0,1,thameer01,0
40,36,5,4,2,0,1,2,0,0,4,13,0.111,0.2,0.25,0.45,24.0,9.0,1,0,0,0,0,thomala02,0
97,87,13,13,2,0,3,9,1,1,3,23,0.149,0.237,0.276,0.513,40.0,24.0,1,7,0,0,0,toroab01,0
78,70,5,18,5,0,1,6,0,0,7,15,0.257,0.325,0.371,0.696,96.0,26.0,1,0,1,0,0,torrelu01,0
13,11,0,3,1,0,0,0,0,0,1,2,0.273,0.333,0.364,0.697,95.0,4.0,0,0,1,0,0,torrelu01,0
65,59,5,15,4,0,1,6,0,0,6,13,0.254,0.323,0.373,0.696,96.0,22.0,1,0,0,0,0,torrelu01,0
160,136,17,33,8,0,3,16,1,0,22,28,0.243,0.356,0.368,0.724,103.0,50.0,5,2,0,0,0,torregl01,0
7,7,1,1,1,0,0,0,0,0,0,0,0.143,0.143,0.286,0.429,12.0,2.0,1,0,0,0,0,torrero01,0
83,76,10,19,8,0,2,9,0,0,3,15,0.25,0.28,0.434,0.715,94.0,33.0,1,1,1,2,0,trevijo01,0
64,61,11,13,1,0,4,10,0,0,1,20,0.213,0.219,0.426,0.645,72.0,26.0,3,0,0,2,0,trompch01,0
241,199,41,56,9,2,17,46,1,1,35,56,0.281,0.39,0.603,0.993,167.0,120.0,1,3,0,4,4,troutmi01,0
185,157,27,31,5,1,8,24,0,0,26,50,0.197,0.314,0.395,0.708,99.0,62.0,5,1,0,1,1,tsutsyo01,0
116,109,17,24,3,0,1,8,1,0,5,31,0.22,0.252,0.275,0.527,44.0,30.0,3,0,1,1,0,tuckeco01,0
228,209,33,56,12,6,9,42,8,1,18,46,0.268,0.325,0.512,0.837,124.0,107.0,2,0,0,1,2,tuckeky01,0
175,150,26,46,9,1,4,23,1,0,18,26,0.307,0.4,0.46,0.86,133.0,69.0,2,6,0,1,0,turneju01,0
259,233,46,78,15,4,12,41,12,4,22,36,0.335,0.394,0.588,0.982,162.0,137.0,5,2,0,2,0,turnetr01,0
166,147,20,30,5,0,9,22,0,2,11,43,0.204,0.289,0.422,0.711,92.0,62.0,6,7,0,1,0,uptonju01,0
120,109,11,26,4,1,0,11,2,2,10,32,0.239,0.308,0.294,0.602,63.0,32.0,4,1,0,0,0,uriaslu01,0
27,25,3,9,2,0,1,3,0,0,2,6,0.36,0.407,0.56,0.967,160.0,14.0,1,0,0,0,0,uriasra01,0
174,151,24,45,11,0,6,30,1,0,18,25,0.298,0.368,0.49,0.858,137.0,74.0,6,1,0,4,0,urshegi01,0
150,141,24,39,4,0,8,16,0,2,8,34,0.277,0.315,0.475,0.791,111.0,67.0,3,0,1,0,0,valaipa01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,valdece01,0
79,70,9,9,3,0,2,6,1,0,7,24,0.129,0.228,0.257,0.485,29.0,18.0,0,2,0,0,0,vanmejo01,0
38,34,3,2,1,0,1,1,1,0,3,16,0.059,0.158,0.176,0.334,-13.0,6.0,0,1,0,0,0,vanmejo01,0
41,36,6,7,2,0,1,5,0,0,4,8,0.194,0.293,0.333,0.626,70.0,12.0,0,1,0,0,0,vanmejo01,0
54,51,6,10,1,1,1,3,0,0,2,10,0.196,0.222,0.314,0.536,45.0,16.0,2,0,0,1,0,vargail01,0
30,29,3,5,0,0,1,1,0,0,1,8,0.172,0.2,0.276,0.476,27.0,8.0,1,0,0,0,0,vargail01,0
21,20,2,3,0,0,0,0,0,0,1,5,0.15,0.19,0.15,0.34,-5.0,3.0,1,0,0,0,0,vargail01,0
24,22,3,5,1,1,0,2,0,0,1,2,0.227,0.25,0.364,0.614,68.0,8.0,1,0,0,1,0,vargail01,0
9,9,1,2,0,0,1,1,0,0,0,3,0.222,0.222,0.556,0.778,100.0,5.0,0,0,0,0,0,vargail01,0
115,101,16,19,5,2,3,9,3,1,12,33,0.188,0.287,0.366,0.653,76.0,37.0,1,2,0,0,0,varshda01,0
