PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional,MVP
553,499,68,132,36,1,22,78,2,0,37,109,0.265,0.325,0.473,0.798,117.0,236.0,14,11,0,6,7,abreujo02,0
487,433,78,127,26,4,26,64,16,5,45,123,0.293,0.366,0.552,0.917,143.0,239.0,4,6,0,3,2,acunaro01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,adamja01,0
323,288,43,80,7,0,10,34,6,5,31,95,0.278,0.348,0.406,0.754,109.0,117.0,6,1,1,2,3,adamewi01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,adamsau02,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,adamsch01,0
29,25,10,6,1,0,2,6,1,0,4,8,0.24,0.345,0.52,0.865,129.0,13.0,1,0,0,0,0,adamsla01,0
337,306,42,73,10,0,21,57,0,0,27,73,0.239,0.309,0.477,0.786,105.0,146.0,6,4,0,0,3,adamsma01,0
277,249,37,64,9,0,18,48,0,0,24,55,0.257,0.332,0.51,0.842,118.0,127.0,6,4,0,0,2,adamsma01,0
60,57,5,9,1,0,3,9,0,0,3,18,0.158,0.2,0.333,0.533,43.0,19.0,0,0,0,0,1,adamsma01,0
185,176,19,47,8,2,3,21,1,0,6,45,0.267,0.29,0.386,0.676,81.0,68.0,2,0,2,1,0,adducji02,0
366,335,42,84,23,1,6,39,5,1,24,82,0.251,0.301,0.379,0.68,85.0,127.0,4,1,4,2,2,adriaeh01,0
566,492,80,135,25,0,35,108,0,0,58,143,0.274,0.352,0.539,0.89,135.0,265.0,19,6,0,10,3,aguilje01,0
564,516,61,121,33,5,16,70,5,4,40,109,0.234,0.29,0.411,0.7,83.0,212.0,15,2,1,5,2,ahmedni01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,alberma01,0
30,27,0,5,2,0,0,0,0,1,2,4,0.185,0.241,0.259,0.501,33.0,7.0,0,0,1,0,0,alberha01,0
684,639,105,167,40,5,24,72,14,3,36,116,0.261,0.305,0.452,0.757,101.0,289.0,9,5,1,3,0,albieoz01,0
13,12,0,0,0,0,0,0,0,0,1,8,0.0,0.077,0.0,0.077,-76.0,0.0,0,0,0,0,0,alcansa01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,alcanvi01,0
6,5,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,-100.0,0.0,0,0,1,0,0,alexasc02,0
377,344,35,90,16,2,10,37,3,0,18,138,0.262,0.324,0.407,0.731,95.0,140.0,2,14,0,1,6,alfarjo01,0
21,19,3,2,0,0,0,1,1,0,2,9,0.105,0.19,0.105,0.296,-14.0,2.0,0,0,0,0,0,alforan01,0
3,1,1,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,444.0,1.0,0,0,2,0,0,allarko01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,allenco01,0
291,265,36,68,11,3,2,20,21,4,14,58,0.257,0.31,0.343,0.654,77.0,91.0,5,7,4,1,1,allengr01,0
151,134,15,24,1,2,3,9,2,2,15,36,0.179,0.26,0.284,0.544,50.0,38.0,6,0,1,1,0,almonab01,0
1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,0,0,0,0,0,almonye01,0
479,444,62,127,24,1,5,41,1,3,24,83,0.286,0.323,0.378,0.701,86.0,168.0,12,3,2,6,1,almoral01,0
574,516,64,129,19,0,23,83,0,0,51,123,0.25,0.317,0.421,0.738,98.0,217.0,10,2,0,5,1,alonsyo01,0
285,243,28,44,11,1,8,38,3,2,36,91,0.181,0.295,0.333,0.628,69.0,81.0,13,4,0,2,0,altheaa01,0
