PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional,MVP
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,abadfe01,0
3,3,0,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,82.0,1.0,0,0,0,0,0,abbotco01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,abreual01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,abreubr01,0
659,566,86,148,30,2,30,117,1,0,61,143,0.261,0.351,0.481,0.831,124.0,272.0,28,22,0,10,3,abreujo02,0
360,297,72,84,19,1,24,52,17,6,49,85,0.283,0.394,0.596,0.99,158.0,177.0,0,9,0,5,2,acunaro01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,adamja01,0
555,497,77,130,32,1,25,73,5,4,57,156,0.262,0.337,0.481,0.818,121.0,239.0,9,0,0,1,1,adamewi01,0
142,132,16,26,6,1,5,15,1,2,10,51,0.197,0.254,0.371,0.625,74.0,49.0,1,0,0,0,0,adamewi01,0
413,365,61,104,26,0,20,58,4,2,47,105,0.285,0.366,0.521,0.886,137.0,190.0,8,0,0,1,1,adamewi01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,adamsau02,0
40,36,3,6,1,0,0,2,0,0,4,9,0.167,0.25,0.194,0.444,17.0,7.0,1,0,0,0,1,adamsma01,0
120,99,13,22,8,1,2,10,0,0,15,40,0.222,0.358,0.384,0.742,105.0,38.0,2,6,0,0,0,adamsri03,0
30,28,2,3,2,0,0,0,0,0,2,12,0.107,0.167,0.179,0.345,-6.0,5.0,1,0,0,0,0,adamsri03,0
90,71,11,19,6,1,2,10,0,0,13,28,0.268,0.422,0.465,0.887,145.0,33.0,1,6,0,0,0,adamsri03,0
140,130,17,32,5,2,4,26,2,1,8,32,0.246,0.295,0.408,0.703,89.0,53.0,3,1,1,0,0,adelljo01,0
2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0.0,0,0,0,0,0,adonjo01,0
209,182,32,45,9,2,5,28,0,0,21,42,0.247,0.327,0.401,0.728,92.0,73.0,4,2,1,3,0,adriaeh01,0
510,449,49,117,23,0,22,93,0,0,46,93,0.261,0.329,0.459,0.788,111.0,206.0,11,3,0,7,4,aguilje01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,aguilmi01,0
473,434,46,96,30,3,5,38,7,2,34,104,0.221,0.28,0.339,0.619,67.0,147.0,9,2,2,1,3,ahmedni01,0
2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0.0,0,0,0,0,0,akinke01,0
183,162,16,33,8,0,0,12,2,3,14,40,0.204,0.282,0.253,0.535,41.0,41.0,1,4,1,1,1,akiyash01,0
1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0.0,0,0,0,0,0,alanirj01,0
255,241,25,65,20,3,2,24,3,1,4,26,0.27,0.291,0.402,0.693,86.0,97.0,1,4,4,2,0,alberha01,0
686,629,103,163,40,7,30,106,20,4,47,128,0.259,0.31,0.488,0.799,108.0,307.0,4,3,0,7,2,albieoz01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,alcaljo01,0
64,58,0,2,1,0,0,0,0,0,3,45,0.034,0.097,0.052,0.148,-58.0,3.0,0,1,2,0,0,alcansa01,0
255,220,30,45,6,3,5,17,3,0,30,74,0.205,0.303,0.327,0.63,72.0,72.0,3,2,1,2,2,alcanse01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,alexasc02,0
2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0.0,0,0,0,0,0,alexaty01,0
311,295,22,72,15,1,4,30,8,1,11,99,0.244,0.283,0.342,0.625,69.0,101.0,8,5,0,0,0,alfarjo01,0
148,133,14,31,6,1,5,11,5,6,12,58,0.233,0.311,0.406,0.717,93.0,54.0,4,3,0,0,1,alforan01,0
2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0.0,0,0,0,0,0,allarko01,0
8,8,2,2,0,0,1,1,0,0,0,3,0.25,0.25,0.625,0.875,134.0,5.0,0,0,0,0,0,allenau01,0
48,37,9,10,4,1,0,2,5,0,5,13,0.27,0.417,0.432,0.849,136.0,16.0,0,5,0,1,0,allengr01,0
1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0.0,0,0,0,0,0,allenlo01,0
175,148,20,32,12,0,5,19,1,1,26,38,0.216,0.331,0.399,0.73,93.0,59.0,2,0,0,1,0,almonab01,0
3,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0.0,0,0,0,0,0,almonye01,0
54,52,3,6,3,0,0,0,0,0,2,17,0.115,0.148,0.173,0.321,-12.0,9.0,1,0,0,0,0,almoral01,0
637,561,81,147,27,3,37,94,3,0,60,127,0.262,0.344,0.519,0.863,133.0,291.0,20,12,0,4,6,alonspe01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,altavda01,0
678,601,117,167,32,1,31,83,5,3,66,91,0.278,0.35,0.489,0.839,127.0,294.0,9,4,1,6,3,altuvjo01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,alvarjo03,0
74,64,8,12,4,1,1,6,1,0,4,18,0.188,0.297,0.328,0.625,70.0,21.0,2,6,0,0,1,alvared01,0
5,2,1,0,0,0,0,0,0,0,2,2,0.0,0.5,0.0,0.5,55.0,0.0,0,0,1,0,0,alvarjo02,0
598,537,92,149,35,1,33,104,1,0,50,145,0.277,0.346,0.531,0.877,136.0,285.0,16,8,0,3,3,alvaryo01,0
33,31,1,2,1,0,0,0,0,0,1,13,0.065,0.094,0.097,0.191,-48.0,3.0,1,0,1,0,0,alzolad01,0
4,4,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0.0,1,0,0,0,0,amburtr01,0
34,28,2,0,0,0,0,1,0,0,4,14,0.0,0.125,0.0,0.125,-62.0,0.0,3,0,2,0,0,anderbr04,0
264,233,24,58,9,0,7,28,5,0,26,65,0.249,0.337,0.378,0.715,94.0,88.0,4,5,0,0,2,anderbr06,0
14,11,0,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0,-100.0,0.0,0,0,3,0,0,anderch01,0
41,37,0,2,1,0,0,0,0,0,1,29,0.054,0.079,0.081,0.16,-57.0,3.0,0,0,3,0,0,anderia01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,andersh01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,andersh01,0
2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0.0,1,0,0,0,0,anderta01,0
551,527,94,163,29,2,17,61,18,7,22,119,0.309,0.338,0.469,0.806,118.0,247.0,5,1,0,1,1,anderti01,0
40,39,1,4,0,0,1,1,0,0,1,29,0.103,0.125,0.179,0.304,-18.0,7.0,0,0,0,0,0,anderty01,0
37,37,1,4,0,0,1,1,0,0,0,27,0.108,0.108,0.189,0.297,-22.0,7.0,0,0,0,0,0,anderty01,0
3,2,0,0,0,0,0,0,0,0,1,2,0.0,0.333,0.0,0.333,8.0,0.0,0,0,0,0,0,anderty01,0
7,6,2,1,1,0,0,0,0,0,1,3,0.167,0.286,0.333,0.619,73.0,2.0,0,0,0,0,0,andrejo03,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,andrima01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,andrima01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,andrima01,0
541,497,60,121,25,2,3,37,12,2,31,81,0.243,0.294,0.32,0.614,73.0,159.0,14,6,3,4,2,andruel01,0
162,154,19,39,2,0,6,12,0,1,7,28,0.253,0.284,0.383,0.667,82.0,59.0,8,0,0,1,0,andujmi01,0
5,3,1,0,0,0,0,0,0,0,1,3,0.0,0.25,0.0,0.25,-26.0,0.0,0,0,1,0,0,antonte01,0
204,174,25,33,6,1,10,23,2,2,27,75,0.19,0.299,0.408,0.707,81.0,71.0,0,1,0,2,2,aquinar01,0
75,65,9,12,3,0,3,8,0,0,8,15,0.185,0.274,0.369,0.643,70.0,24.0,2,0,2,0,0,arauzjo01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,archech01,0
89,81,9,16,3,0,2,14,1,0,7,19,0.198,0.258,0.309,0.567,51.0,25.0,2,0,0,1,1,arciaor01,0
11,11,0,1,0,0,0,1,0,0,0,3,0.091,0.091,0.091,0.182,-50.0,1.0,0,0,0,0,0,arciaor01,0
78,70,9,15,3,0,2,13,1,0,7,16,0.214,0.282,0.343,0.625,65.0,24.0,2,0,0,1,1,arciaor01,0
653,593,81,151,34,3,34,105,2,0,50,96,0.255,0.312,0.494,0.807,119.0,293.0,20,3,0,7,8,arenano01,0
2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0.0,0,0,0,0,0,arihako01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,armstsh01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,armstsh01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,armstsh01,0
604,529,94,145,32,3,20,69,20,10,56,170,0.274,0.356,0.459,0.815,129.0,243.0,9,14,0,5,4,arozara01,0
479,428,58,126,17,6,2,42,2,2,43,48,0.294,0.357,0.376,0.733,105.0,161.0,9,2,0,6,2,arraelu01,0
30,23,3,3,0,0,0,0,0,0,2,16,0.13,0.231,0.13,0.361,2.0,3.0,0,1,4,0,0,arrieja01,0
26,21,2,2,0,0,0,0,0,0,2,16,0.095,0.208,0.095,0.304,-13.0,2.0,0,1,2,0,0,arrieja01,0
4,2,1,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,182.0,1.0,0,0,2,0,0,arrieja01,0
181,164,22,43,12,0,6,25,1,0,8,44,0.262,0.324,0.445,0.769,103.0,73.0,1,7,1,0,0,arroych01,0
4,3,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,0,0,0,1,0,arteahu01,0
4,2,0,0,0,0,0,0,0,0,1,2,0.0,0.333,0.0,0.333,3.0,0.0,0,0,1,0,0,ashbyaa01,0
216,208,17,49,8,0,7,21,0,0,3,12,0.236,0.259,0.375,0.634,74.0,78.0,12,4,0,1,0,astudwi01,0
111,89,5,17,9,1,1,9,0,0,19,37,0.191,0.345,0.348,0.694,93.0,31.0,4,2,1,0,1,avilaal01,0
1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0.0,0,0,0,0,0,avilape01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,avilalu01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,axforjo01,0
461,413,60,107,20,7,13,55,18,4,45,122,0.259,0.33,0.436,0.766,112.0,180.0,5,0,0,3,1,baddoak01,0
401,367,45,98,21,1,16,50,9,4,27,85,0.267,0.324,0.46,0.785,114.0,169.0,4,5,0,2,6,baderha01,0
547,502,80,133,18,2,31,87,18,5,28,184,0.265,0.319,0.494,0.813,117.0,248.0,12,13,0,3,2,baezja01,0
361,335,48,83,9,2,22,65,13,3,15,131,0.248,0.292,0.484,0.775,105.0,162.0,7,7,0,3,1,baezja01,0
