PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional,MVP
302,284,33,70,12,2,2,21,7,4,5,50,0.246,0.28,0.324,0.604,75.0,92.0,5,9,2,2,0,abramcj01,0
139,125,16,29,5,0,2,11,1,2,4,27,0.232,0.285,0.32,0.605,76.0,40.0,4,6,2,2,0,abramcj01,0
163,159,17,41,7,2,0,10,6,2,1,23,0.258,0.276,0.327,0.603,74.0,52.0,1,3,0,0,0,abramcj01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,abreual01,0
0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.0,0,0,0,0,0,abreual01,0
679,601,85,183,40,0,15,75,0,0,62,110,0.304,0.378,0.446,0.824,134.0,268.0,19,12,0,4,2,abreujo02,0
533,467,71,124,24,0,15,50,29,11,53,126,0.266,0.351,0.413,0.764,112.0,193.0,8,10,0,3,4,acunaro01,0
617,563,83,134,31,0,31,98,8,3,49,166,0.238,0.298,0.458,0.756,110.0,258.0,11,1,0,4,3,adamewi01,0
155,142,14,25,4,0,5,10,0,1,12,46,0.176,0.245,0.31,0.555,59.0,44.0,2,1,0,0,0,adamsri03,0
285,268,22,60,12,2,8,27,4,2,11,107,0.224,0.264,0.373,0.637,78.0,100.0,6,4,0,1,0,adelljo01,0
110,97,8,17,3,0,0,7,1,0,11,25,0.175,0.264,0.206,0.47,38.0,20.0,2,1,0,1,0,adriaeh01,0
94,84,5,15,2,0,0,7,1,0,8,22,0.179,0.255,0.202,0.458,35.0,17.0,2,1,0,1,0,adriaeh01,0
16,13,3,2,1,0,0,0,0,0,3,3,0.154,0.313,0.231,0.543,55.0,3.0,0,0,0,0,0,adriaeh01,0
507,464,39,109,19,0,16,51,1,0,28,119,0.235,0.281,0.379,0.661,85.0,176.0,8,4,0,5,1,aguilje01,0
456,415,37,98,18,0,15,49,1,0,27,106,0.236,0.286,0.388,0.674,89.0,161.0,8,4,0,5,1,aguilje01,0
